Week,Display,EndCap,PriceChange,TV,Facebook,Twitter,Amazon,Audio,Print,Digital_AO,sales
7/22/18,30.59,55.49,0,0,15454326,643116,0,0,0,0,400954.6
7/29/18,26.78,53.76,0,7554554,761499,91229,0,0,0,1728833,377135.8
8/5/18,29.55,53.95,0,0,0,0,0,0,0,0,349983.6
8/12/18,28.01,54.18,0,18904381,0,715448,0,0,0,205617,395254.4
8/19/18,28.42,55.63,0,8393560,11483791,0,0,0,716908,14990,417728.7
8/26/18,32.71,58.64,0,0,0,0,0,0,0,0,371055.2
9/2/18,27.30,53.28,0,21032131,8568892,0,0,0,0,0,400445.6
9/9/18,30.86,54.93,0,0,0,0,1402020,0,6006,0,373834.2
9/16/18,26.56,53.27,0,0,0,0,0,0,0,0,366418.2
9/23/18,31.39,56.45,0,0,0,0,0,0,0,0,352801.8
9/30/18,30.64,52.99,0,6153499,9232485,322298,25041475,8376582,0,4685251,389123
10/7/18,29.02,53.59,0,0,15223148,0,2556964,0,8263922,0,400104.5
10/14/18,29.09,53.67,0,22712668,8065137,0,1074484,0,6456823,0,446433.4
10/21/18,28.24,52.31,0,0,0,751165,2451254,0,0,0,379942.4
10/28/18,27.36,54.60,0,38164729,0,744301,1905696,0,0,0,429276
11/4/18,31.83,56.68,0,18994098,0,1310425,2671436,0,0,0,430429
11/11/18,28.48,52.55,0,30217967,5878780,0,0,0,2175502,0,462222.2
11/18/18,31.37,56.03,0,0,0,0,0,0,0,0,387673.3
11/25/18,27.12,52.61,1,32135009,8298909,104063,0,0,0,1961518,426837.1
12/2/18,27.90,56.29,1,0,2200879,0,345784,0,0,0,386137.3
12/9/18,31.85,57.34,1,0,0,0,0,0,0,0,365545.7
12/16/18,31.50,57.87,1,0,0,0,0,0,0,0,357347
12/23/18,26.75,53.67,1,0,0,0,0,0,0,0,326873.2
12/30/18,28.57,53.27,1,19101186,4054771,165166,0,0,0,124055,385777.3
1/6/19,26.15,52.58,1,0,526110,0,0,0,0,10618,375547.3
